,name,id
533,JeffreyGoldberg,47448886
534,jenanmoussa,148653311
535,jennablan,110302086
536,JenniferJJacobs,15433452
537,jentaub,57362322
538,JEPomfret,46516193
539,JeremyKonyndyk,398172747
540,Jesse_Livermore,232120274
541,JessicaMontell,53020165
542,JessPeletier,191737925
543,jeuasommenulle,1304716856
544,JHIAdvisorsUS,16630600
545,JHILLMacro,153148261
546,jimcramer,14216123
547,JimPuzzanghera,15946752
548,Jkylebass,3005733012
549,JLyonsFundMgmt,244248703
550,JMDBarroso,376819013
551,jmfinn,14530768
552,jmsardo,25999072
553,joegilster,254316893
554,JoeNBC,21619519
555,JohanHakon,568924984
556,JohnCornyn,13218102
557,JohnEkdahl,19370031
558,JohnJHarwood,259395895
559,JohnKicklighter,22973017
560,johnsfoley,22785048
561,JohnTraderYork,281791724
562,JonahDispatch,71627462
563,jonathanmiller,9579652
564,JonErlichman,164425558
565,jonlovett,174110843
566,jordanbrianl,1262711371
567,JordanFife1,769721616
568,jorge_guajardo,91623824
569,JorgeGCastaneda,92399925
570,JoseAMeadeK,237372254
571,Josh_RaymondUK,236454159
572,joshh031,49619321
573,JoshManMode,609070523
574,JoshRosner,27949506
575,jposhaughnessy,28369153
576,JPSpinetto,108332764
577,JRubinBlogger,218975278
578,jsende,11809452
579,jsmian,1364226660
580,jtepper2,13153002
581,jturek18,1925297083
582,JuddLegum,15464697
583,juliagalef,18691746
584,juliamacfarlane,20159596
585,JuliaManhattan,73929597
586,JulianBurnside,206979151
587,julianku,34447580
588,justinamash,233842454
589,JustinWolfers,327577091
590,jwgop,532690100
591,jwthulin,398650307
592,jyarow,16370204
593,JZarif,47813521
594,KallumPickering,3159305580
595,kannbwx,1681704248
596,karoun,46447090
597,Kasparov63,449588356
598,katherinemiller,15741036
599,KatiaPorzo,907213880
600,katie_martin_fx,57268394
601,katiemcque,118885773
602,kaylatausche,30043148
603,kchoudhu,255809750
604,KenDilanianNBC,325001316
605,kent_hamm,631406516
606,KevinMKruse,3060489838
607,kevinmuir,15492201
608,khamenei_ir,27966935
609,KimberlyMarten,564663702
610,KitchenNews,1229055031
611,KLCapital,1935513416
612,kmz78,411023686
613,kowsmann,492332909
614,KremlinRussia_E,205622130
615,KRooneyVera,74784937
616,kylegriffin1,32871086
617,KyleWOrton,544732668
618,L0gg0l,65616414
619,LA_Banker,473458412
620,LadyFOHF,1484632920
621,LahavHarkov,315779591
622,largecaptrader1,110331791
623,larry_kudlow,44401911
624,lauraphylmills,605452825
625,Lavorgnanomics,617381538
626,LDrogen,19079480
627,leanco,39050208
628,lebas_janney,282566465
629,LeeARisk,57597814
630,Legacy_Trades,100592354
631,lemasabachthani,128616566
632,LeonEmirali,472079320
633,LHSummers,236526490
634,LibertyBlitz,559802746
635,LibyaLiberty,254873869
636,LindaRaschke,23340242
637,lindayueh,350958562
638,Lingling_Wei,499603787
639,lisaabramowicz1,1327359720
640,LisaDNews,114050808
641,LiveSquawk,59393368
642,LizRappaport,264834791
643,ljzaz,524574744
644,LMT978,1064700308
645,locatellicharts,235082515
646,lomholt10,716218002
647,LONGCONVEXITY,3845158767
648,LongShortTrader,20636215
649,lopezdeprado,1001229541585686534
650,LorcanRK,23116875
651,LorenAdler,346082172
652,LSValue,1480535438
653,LucreSnooker,2296454820
654,LukeGromen,2936015319
655,LukeRussert,21220931
656,LVidegaray,99171928
657,M_McDonough,63202368
658,M_PaulMcNamara,815667453736943616
659,Macroandchill,715809079709581312
660,MacroCharts,1120564659805929473
661,macrocredit,1926698492
662,macrokurd,2856135046
663,Macropsychology,59427497
664,MacroTechnicals,27956902
665,MadameButcher,23359503
666,maggieNYT,93069110
667,majilato,113060830
668,MajorCBS,46176168
669,majortopics,2198440218
670,mamtabadkar,127896978
671,marcatracy,61108556
672,marcmakingsense,42632530
673,margbrennan,50011708
674,mark_dow,286654612
675,markbspiegel,258612274
676,Market_Time,86707102
677,MarketElf,386235652
678,marketfolly,14173032
679,MarketPlunger,346257282
680,MarketsContext,1600626631
681,MarketWatch,624413
682,markgongloff,44358989
683,markknoller,31127446
684,MarkNewtonCMT,253168011
685,MarkoKolanovic4,1058284181715931136
686,MarkThoma,16833653
687,MartinRJay,2230258634
688,MarzBonfire,86463400
689,MatinaStevis,97268285
690,matt_levine,14230772
691,MatthewMorog,768867989017862144
692,matthewstoller,2030711
693,MattMcBradley,95048311
694,mattuthompson,233180256
695,mattyglesias,15446531
696,Max_i_mm,278891572
697,MaxAbrahms,1362368612
698,MaxBlumenthal,53789862
699,MaxBoot,28162211
700,MaxKennerly,16369805
701,maxseddon,349816997
702,MayankSeksaria,467756441
703,MazMHussain,84816752
704,MBForex,136386053
705,mbusigin,19111917
706,MCaruso_Cabrera,103087049
707,McClellanOsc,111988112
708,mcimaps,91032979
709,mcmoynihan,22056192
710,mdc,156341661
711,mdudas,7184612
712,MebFaber,19997064
713,memetsimsek,183665035
714,meredithshiner,16081831
715,merica,36890646
716,MESandbu,1179383574
717,mfa_russia,255471924
718,MG_Macro,2201859300
719,mhewson_CMC,21183938
720,michaeldweiss,18025377
721,michaellachlan,1180009339
722,michaelsantoli,898301664
723,MichaelSedacca,308440344
724,michaelsteen,14461814
725,MichalakisCon,2937899202
726,michikokakutani,78400475
727,MicroFundy,163537857
728,MiekeEoyang,297632458
729,MiguelGilTertre,213724443
730,MikeBloomberg,16581604
731,MikeEBlock,14260102
732,millerC4,138020428
733,millerdon,15320321
734,Millermena,17944931
735,mitchprothero,244910581
736,mjmauboussin,633238141
737,mkraju,39155029
738,MktMonkey,1546562078
739,MNIEurozone,339899091
740,MNINews,71321874
741,ModeledBehavior,159904799
742,modestproposal1,355866075
743,money_china,517669608
744,morningmoneyben,135575282
745,MortgageLaurie,2861726362
746,motokorich,52089472
747,MPH777,21210754
748,mpoppel,17568791
749,mrbaopanrui,154053152
750,MrTopStep,19651092
751,MSGCapital,382636861
752,MSNBC,2836421
753,MStankowicz,55084338
754,msttrader,175754840
755,mtaibbi,38271276
756,Muinchille,243731474
757,MWellerFX,372343193
758,myroslavapetsa,371972173
759,MZSola,252688800
760,n_i_c_k_,4817504413
761,NACMtrader17,234775568
762,nadabakos,104271823
763,NaelSanaullah,770181800
764,nancook,26520417
765,Nat_Vasilyeva,127826263
766,NataliaAntonova,20581923
767,Nataliem55,40140781
768,NateSilver538,16017475
769,NationalMemo,310482542
770,natomission_ru,187874400
771,NatSecGeek,1268508296
772,NautilusCap,2363049998
773,naval,745273
774,NeckarValue,709905230
775,neelkashkari,1135512301
776,neeratanden,125453969
777,netanyahu,17061263
778,NevilleHill,97678308
779,NewRiverInvest,2240370386
780,NewYorkFed,15072071
781,nghrbi,4038071079
782,nick_bunker,16641916
783,NickBryantNY,289236003
784,nickconfessore,258885469
785,NickGiva,3301617659
786,NickMalkoutzis,279642533
787,NickPtv,104327405
788,nicolatheron,256219641
789,NicSherrod,875426080659841024
790,NicTrades,126717954
791,Nirav777,21269056
792,niubi,3512101
793,NonGaap,362725041
794,NonWhiteHat,2281181600
795,noonanjo,61122731
796,NorbertElekes,292558545
797,NorbertKeimling,2960778659
798,NorthernRavenTA,818023529534914561
799,northherofx,792376662553989120
800,Not_Jim_Cramer,273538988
801,NotDovBerns,147562726
802,notdred,750073625915559936
